"","Total","Middle","Bottom","All_series"
"basef",161.555803455112,79.5528864743296,41.4713726889256,69.5067238799248
"ols_I",0,-0.53393314168131,-0.498632204890867,-0.344607345398033
"wlss_I",0,-0.518672526993041,-0.491313747186746,-0.33712178420714
"wlsv_I",0,-0.512089732734903,-0.493203053438476,-0.335613292792039
"sam_I",0,-0.485510233716073,-0.427788755942307,-0.304618892462762
"shrink_I",0,-0.489330521034663,-0.466301991888973,-0.318999036306129
"ols_iMinT",0,-0.53393314168131,-0.498632204890867,-0.344607345398012
"wlss_iMinT",0,-0.518672526993059,-0.491313747186746,-0.33712178420714
"wlsv_iMinT",0,-0.515295791979351,-0.492349124649306,-0.336370564108259
"sam_iMinT",0,-0.503171618638933,-0.433008949695341,-0.312174138296472
"shrink_iMinT",0,-0.499791898189144,-0.471412775194325,-0.324162504477235
