"","Total","Middle","Bottom","All_series"
"basef",104.914508010311,71.5636134635596,51.5359572050809,64.8836519653934
"ols_I",0,-1.86285944074649,-1.63923875540071,-1.33105256427843
"wlss_I",0,-1.96344967294233,-1.6741590367221,-1.37860097446245
"wlsv_I",0,-1.90275983189538,-1.64570716774366,-1.34656220656411
"sam_I",0,-1.45690111383959,-1.71478264620008,-1.23741070051484
"shrink_I",0,-1.6340784993312,-1.77617856667944,-1.3211106263043
"ols_iMinT",0,-1.86285944074649,-1.63923875540071,-1.33105256427843
"wlss_iMinT",0,-1.96344967294233,-1.67415903672208,-1.37860097446245
"wlsv_iMinT",0,-1.9225954580685,-1.65095087280238,-1.35519298640244
"sam_iMinT",1.35451759577477e-14,-1.49041478514947,-1.72733693719991,-1.25366993251785
"shrink_iMinT",0,-1.66677360929542,-1.7932679855901,-1.33917029029265
