"","Total","Middle","Bottom","All_series"
"basef",110.61123591803,76.9706518647926,53.8733720558216,68.5780039815574
"ols_I",0,-2.46743251721005,-0.891652684992802,-1.19152142238051
"wlss_I",0,-2.72598842671996,-0.984004509925216,-1.31589210191764
"wlsv_I",0,-2.71509294930308,-0.956234419067573,-1.29993209537518
"sam_I",-1.28475688724183e-14,-2.54370534619441,-0.372067036252951,-0.982737723889699
"shrink_I",0,-2.78219583915515,-0.780063213140701,-1.24236711256636
"ols_iMinT",0,-2.46743251721005,-0.891652684992802,-1.19152142238051
"wlss_iMinT",-1.28475688724183e-14,-2.72598842671996,-0.984004509925216,-1.31589210191764
"wlsv_iMinT",0,-2.67228420698802,-0.938054100766048,-1.27804299891205
"sam_iMinT",0,-2.39032983329114,-0.356947171295156,-0.926765885153899
"shrink_iMinT",0,-2.64895968553861,-0.76344425463703,-1.19218062391424
