"","Total","Middle","Bottom","All_series"
"basef",144.123938118961,73.811403086308,38.4810672947685,63.6672876386645
"ols_I",0,-6.04069423853281,-2.13494734243552,-2.73826299502765
"wlss_I",0,-6.25618319321361,-2.238280898472,-2.84532992296668
"wlsv_I",0,-6.29301156009394,-2.34214291309565,-2.89340034019038
"sam_I",0,-6.33721669169153,-2.19653100873142,-2.85775180144955
"shrink_I",0,-6.4595592559403,-2.48235468785028,-2.9969929719442
"ols_iMinT",0,-6.04069423853279,-2.13494734243552,-2.73826299502765
"wlss_iMinT",0,-6.25618319321361,-2.23828089847201,-2.84532992296667
"wlsv_iMinT",0,-6.28655888427059,-2.28165620795128,-2.87037229105419
"sam_iMinT",0,-6.40503577215638,-2.19362042102436,-2.87921075344667
"shrink_iMinT",0,-6.51619697251163,-2.47052802305535,-3.01166883759935
